Id,Label,namespace,SparqlID,PageRank
163,Sweden,http://dbpedia.org/resource,http://dbpedia.org/resource/Sweden,0.011917411765240648
164,The Governor,http://dbpedia.org/resource,http://dbpedia.org/resource/The_Governor_(The_Walking_Dead),5.058558908724849E-4
165,Daniel Patrick Cassidy,http://dbpedia.org/resource,http://dbpedia.org/resource/Blue_Devil,5.058558908724849E-4
166,Paris Cullins,http://dbpedia.org/resource,http://dbpedia.org/resource/Paris_Cullins,0.0011508584842434358
167,Dale Keown,http://dbpedia.org/resource,http://dbpedia.org/resource/Dale_Keown,9.358576197864521E-4
168,Frank M. Borth,http://dbpedia.org/resource,http://dbpedia.org/resource/Frank_Borth,9.358576197864521E-4
169,"Cleveland, Ohio",http://dbpedia.org/resource,http://dbpedia.org/resource/Cleveland,9.036197598826059E-4
170,Juliet Sharp,http://dbpedia.org/resource,http://dbpedia.org/resource/Juliet_Sharp,5.058558908724849E-4
171,"Golden, Michael",http://dbpedia.org/resource,http://dbpedia.org/resource/Michael_Golden_(comics),7.208567553294684E-4
172,Shane Walsh,http://dbpedia.org/resource,http://dbpedia.org/resource/Shane_Walsh_(The_Walking_Dead),5.058558908724849E-4
173,Tyreese,http://dbpedia.org/resource,http://dbpedia.org/resource/Tyreese,5.058558908724849E-4
174,Elizabeth Weir,http://dbpedia.org/resource,http://dbpedia.org/resource/Elizabeth_Weir_(Stargate),5.058558908724849E-4
175,"Randolph ""Randy"" Robertson",http://dbpedia.org/resource,http://dbpedia.org/resource/Randy_Robertson,5.058558908724849E-4
176,Marshall Rogers,http://dbpedia.org/resource,http://dbpedia.org/resource/Marshall_Rogers,9.358576197864521E-4
177,"Flushing, Queens",http://dbpedia.org/resource,"http://dbpedia.org/resource/Flushing,_Queens",9.036197598826059E-4
178,Roger Sweet,http://dbpedia.org/resource,http://dbpedia.org/resource/Roger_Sweet,9.358576197864521E-4
179,David Aceveda,http://dbpedia.org/resource,http://dbpedia.org/resource/David_Aceveda,5.058558908724849E-4
180,"""Edison""",http://dbpedia.org/resource,http://dbpedia.org/resource/Film_Freak,5.058558908724849E-4
181,Shane Vendrell,http://dbpedia.org/resource,http://dbpedia.org/resource/Shane_Vendrell,5.058558908724849E-4
182,Vanessa Fisk,http://dbpedia.org/resource,http://dbpedia.org/resource/Vanessa_Fisk,5.058558908724849E-4
183,Master,http://dbpedia.org/resource,http://dbpedia.org/resource/Master_(Master_and_Margarita),5.058558908724849E-4
184,"Bulgakov, Mikhail",http://dbpedia.org/resource,http://dbpedia.org/resource/Mikhail_Bulgakov,0.0022258628065283535
185,Brittany S. Pierce,http://dbpedia.org/resource,http://dbpedia.org/resource/Brittany_Pierce,5.058558908724849E-4
186,Mel Rubi,http://dbpedia.org/resource,http://dbpedia.org/resource/Mel_Rubi,9.358576197864521E-4
187,Vanessa Abrams,http://dbpedia.org/resource,http://dbpedia.org/resource/Vanessa_Abrams,5.058558908724849E-4
188,People of Northern Ireland,http://dbpedia.org/resource,http://dbpedia.org/resource/People_of_Northern_Ireland,0.0030066970622352647
189,Carson Drew,http://dbpedia.org/resource,http://dbpedia.org/resource/Carson_Drew,5.058558908724849E-4
190,"Stratemeyer, Edward",http://dbpedia.org/resource,http://dbpedia.org/resource/Edward_Stratemeyer,0.0026558645354423207
191,Lilly Caul,http://dbpedia.org/resource,http://dbpedia.org/resource/Lilly_(The_Walking_Dead),5.058558908724849E-4
192,"Maria ""Mari"" Hermosa",http://dbpedia.org/resource,http://dbpedia.org/resource/Maria_Hermosa,5.058558908724849E-4
193,"Hernandez, Javier",http://dbpedia.org/resource,http://dbpedia.org/resource/Javier_Hernandez_(comics),0.0013658593487004193
194,Nathaniel Essex,http://dbpedia.org/resource,http://dbpedia.org/resource/Mister_Sinister,5.058558908724849E-4
195,"Silvestri, Marc",http://dbpedia.org/resource,http://dbpedia.org/resource/Marc_Silvestri,0.0013658593487004193
196,Robert Langdon,http://dbpedia.org/resource,http://dbpedia.org/resource/Robert_Langdon,5.058558908724849E-4
197,Dan Brown,http://dbpedia.org/resource,http://dbpedia.org/resource/Dan_Brown,9.358576197864521E-4
198,Stuart Hill,http://dbpedia.org/resource,http://dbpedia.org/resource/Stuart_Hill_(author),9.358576197864521E-4
199,Fantasy,http://dbpedia.org/resource,http://dbpedia.org/resource/Fantasy,9.369485748028487E-4
200,History,http://dbpedia.org/resource,http://dbpedia.org/resource/History,7.047378253775454E-4
201,Leicester,http://dbpedia.org/resource,http://dbpedia.org/resource/Leicester,7.047378253775454E-4
202,Wendy Harris,http://dbpedia.org/resource,http://dbpedia.org/resource/Wendy_and_Marvin,5.058558908724849E-4
