,,Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
10,3,Alicante/Alacant,26.2,26.9,24.3,23.3,22.7,19.8280506946,20.2080648131,18.7739982834,18.726227333,19.566061338,18.0642461023,19.4201379088,19.1846522782,18.1076672104,15.4473717024,12.3051597304,12.7689792413,14.4696387394,13.7436868687
10,12,Castellón/Castelló,23.6,24.4,23.1,20.9,19.8,19.1718812408,17.8889470927,16.1173111861,17.1380924893,17.5044203082,15.0195179379,13.2688821752,10.5597365945,10.6550817423,12.1772039181,10.8718060001,11.114040175,8.3964775753,7.936187399
10,46,Valencia/València,21,18.7,17.8,18.8,18,17.374726119,16.3726858706,15.88111594,14.9705260816,15.6038886143,15.4413453097,15.2485044634,10.9459213164,11.3792396762,11.0674920731,10.1791369755,9.7833343448,9.9723123926,9.8338870432
11,,Extremadura,32.0583399299,32.1584720312,29.3175149909,28.9182326054,29.4345432512,28.0477807706,26.7396035527,26.2393062229,26.4081525389,26.3188473158,25.442349948,23.0700567249,19.7977951676,20.8091174553,21.7200180343,20.4355014993,19.5801080359,19.0381205674,18.0722891566
11,6,Badajoz,36.5,36.6,33.3,32.5,33.4,32.275385943,29.5249086363,28.1007566325,27.5789674587,27.4461421657,26.2149665,23.2575615255,17.1220740464,17.638086434,21.652892562,20.6328249488,19.4813979707,17.501789549,17.1357320983
11,10,Cáceres,24.9,25,22.9,23.2,23.2,21.4167543992,22.3534756929,23.3056603774,24.5616675446,24.5393258427,24.2197999104,22.7729403885,24.0271226415,25.8395659188,21.8266705573,20.1195509549,19.739427906,21.5366705471,19.6038450335
12,,Galicia,24.9932912426,25.8759484924,26.087484597,23.38678295,22.7451543777,21.5729648043,21.1707818705,20.1510017759,19.7599461724,20.5434548199,19.6633429827,19.7955430087,9.8454200911,8.9973911384,13.9436589953,12.7321961036,12.3904026881,10.3274981154,10.178938105
12,15,A Coruña,18.9,21.2,22.2,18.8,18.8,17.9721756076,17.8362494271,18.0989164253,16.1844774207,17.6953642384,18.5760143135,18.9398701027,14.4315932062,13.1179840821,14.016255967,12.222136561,12.8348814002,9.6053839095,10.0214089102
12,27,Lugo,47.9,45.9,45.5,42.2,38.9,41.0868540914,40.3533680391,35.8921653886,35.8795562599,37.5653827865,36.372284763,36.4127842264,5.1020408163,2.9108356657,17.4540787679,19.2437650845,17.0672689143,15.0662786938,12.0936280884
12,32,Ourense,36.4,40.5,38.2,33.9,30.2,23.2721202003,23.9419996628,21.3503956895,22.3380992431,21.6243399547,16.0013390242,18.6320754717,12.4483427511,11.3147006671,17.6490514905,12.5159860176,12.765229295,13.0629082159,13.6379370024
12,36,Pontevedra,16.9,15.8,16.5,16,17.5,16.993728505,16.0531972058,15.5858019749,16.4412622647,16.5960382379,15.5695254226,14.532737517,5.1119031564,5.4824211902,11.085801063,10.8929861482,9.9039540975,8.4025281943,8.406477933
13,,Madrid (Comunidad de),11,10.9,9.7,8.2,8.1,7.3301836764,7.2992787391,7.1030673405,8.2355329949,9.3562182813,8.9655863013,7.5799951313,7.1234556158,6.8420861838,7.7390362805,9.1877736241,8.3308819203,7.5565732759,8.2127724549
14,,Murcia (Región de),32.4,32.5,31.4,29.6,27.9,24.9026785196,24.580057689,22.7799549737,23.5711556308,22.7730980078,20.9697190997,20.006090134,20.2294313556,18.6443932412,17.1570000934,16.3161365135,16.2829201528,16.9605229208,15.9993213437
15,,Navarra (Comunidad Foral),3.9,4.9,4.5,4,5.6,7.1655328798,7.0687925075,6.7616837918,8.7993871074,8.280945155,6.8557919622,6.1096327834,5.9206382532,5.6186181517,4.8970392378,4.3350552011,4.5568102328,4.5140942243,4.0086038326
16,,País Vasco,6.871766334,6.5135013488,6.3352759552,5.8,6.6,6.2141110922,5.4696890422,5.5757575758,6.2161022903,7.8636592601,6.8475596167,6.4235846045,4.6346156508,4.3512472563,3.9576166231,3.921783726,4.3364873906,3.8310412574,3.7907422624
16,1,Álava,9.2,7.6,7.5,6.7,8.3,7.3977936405,6.9223373571,7.9915433404,6.3618290258,7.5729360646,11.4531138153,11.1234705228,6.2449959968,5.3808110781,5.5582738037,3.9523394362,3.142063416,3.1987814166,3.9528696313
16,20,Guipúzcoa,10.2,9.2,9.2,8,8.3,7.1586781253,5.8870185952,6.2532935184,7.1784995185,8.5243615445,7.2206552397,7.7481840194,7.2617507546,5.9439204032,3.7810432242,4.2338018512,4.7639375053,3.7523452158,4.0753424658
16,48,Vizcaya,4.4,4.7,4.4,4.2,5.1,5.3767905335,4.873001914,4.587013792,5.6130213842,7.5458101709,5.4711558202,4.44786062,2.6627749187,3.1397013704,3.6449957883,3.7283214913,4.3988418753,4.0467717336,3.5772690106
17,,Rioja (La),3.9,3.8,5.3,6.2,7.8,8.6936627774,7.8165593584,8.3865904249,8.6088307078,6.4360770578,3.4831219093,1.3893274392,1.1140911904,0.7274196807,5.3829408272,8.0349344978,6.2911066629,6.7419962335,5.8205031919
18,51,Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9928122192,21.0996870809,21.3333333333,16.7548500882,16.2303664921
19,52,Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5796305542,13.1670822943,19.2233009709,27.4809160305,27.5797373358
